create,race_id,position,name,rank,frame_no,plan
2024-12-29 15:04:16,e083a0e8-80ee-42c6-b741-9a372ef39396,01着,タマモクロス［猛ル鳴神］,UC,08,先行
2024-12-29 15:04:16,e083a0e8-80ee-42c6-b741-9a372ef39396,02着,ジェンティルドンナ［Regina dei fiori］,,16,先行
2024-12-29 15:04:16,e083a0e8-80ee-42c6-b741-9a372ef39396,03着,ジェンティルドンナ［Regina dei fiori］,,18,先行
2024-12-29 15:04:19,e083a0e8-80ee-42c6-b741-9a372ef39396,04着,ジェンティルドンナ［Regina dei fiori］,,04,先行
2024-12-29 15:04:19,e083a0e8-80ee-42c6-b741-9a372ef39396,05着,テイエムオペラオー［オー・ソレ・スーオ！］,,08,先行
2024-12-29 15:04:19,e083a0e8-80ee-42c6-b741-9a372ef39396,06着,オグリキャップ［キセキの白星］,UD,18,先行
2024-12-29 15:04:20,e083a0e8-80ee-42c6-b741-9a372ef39396,07着,ジャングルポケット［王者の喊声］,,11,差し
2024-12-29 15:04:19,e083a0e8-80ee-42c6-b741-9a372ef39396,08着,ヤエノムテキ［黒将Zen］,UF,12,先行
2024-12-29 15:04:21,e083a0e8-80ee-42c6-b741-9a372ef39396,09着,ジェンティルドンナ［Regina dei fiori］,,09,先行
2024-12-29 15:04:21,e083a0e8-80ee-42c6-b741-9a372ef39396,10着,トーセンジョーダン［Aurore☆Vacances］,UF,10,差し
2024-12-29 15:04:26,e083a0e8-80ee-42c6-b741-9a372ef39396,11着,ジャングルポケット［王者の喊声］,,07,差し
2024-12-29 15:04:26,e083a0e8-80ee-42c6-b741-9a372ef39396,12着,ジャングルポケット［王者の喊声］,,08,差し
2024-12-29 15:04:22,e083a0e8-80ee-42c6-b741-9a372ef39396,13着,ジャングルポケット［王者の喊声］,,02,差し
2024-12-29 15:04:22,e083a0e8-80ee-42c6-b741-9a372ef39396,14着,メジロアルダン［Neige Émeraude］,UD,14,先行
2024-12-29 15:04:22,e083a0e8-80ee-42c6-b741-9a372ef39396,15着,ジャングルポケット［王者の喊声］,UG,02,差し
2024-12-29 15:04:21,e083a0e8-80ee-42c6-b741-9a372ef39396,16着,トーセンジョーダン［Aurore☆Vacances］,UF,10,差し
2024-12-29 15:04:22,e083a0e8-80ee-42c6-b741-9a372ef39396,17着,サイレンススズカ［サイレントイノセンス］,UF,17,逃げ
2024-12-29 15:04:21,e083a0e8-80ee-42c6-b741-9a372ef39396,18着,トーセンジョーダン［Aurore☆Vacances］,UF,10,差し
2024-12-29 15:17:33,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,01着,ジェンティルドンナ［Regina dei fiori］,,01,先行
2024-12-29 15:17:33,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,02着,,UF,08,逃げ
2024-12-29 15:17:33,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,03着,スペシャルウィーク［日之本一の総大将］,UG,07,差し
2024-12-29 15:17:36,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,04着,サクラローレル［Saisir le rêve］,UG,,差し
2024-12-29 15:17:37,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,05着,ジェンティルドンナ［Regina dei fiori］,,,先行
2024-12-29 15:17:38,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,06着,グラスワンダー［蒼炎の誉］,UG,06,差し
2024-12-29 15:17:39,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,07着,,,04,逃げ
2024-12-29 15:17:38,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,08着,グラスワンダー［蒼炎の誉］,UG,08,差し
2024-12-29 15:17:41,8ed3e10b-517a-47d6-8de7-4d1e3d0367ad,09着,アグネスタキオン［tach-nology］,,08,先行
